id,Sentence,Aspect Term,polarity,from,to
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,positive,8,18
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",salads,positive,23,29
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,positive,49,54
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,positive,82,87
1579,And really large portions.,portions,positive,17,25
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,positive,4,15
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,lamb chettinad,positive,41,55
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,positive,64,75
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,rasamalai,negative,84,93
1609,Service was quick.,Service,positive,0,7
3018,"Oh, don't even let me start with how expensive the bills were!",bills,negative,51,56
3292,Service is top notch.,Service,positive,0,7
2041,The best thing I tasted were the lambc hops.,lambc hops,positive,33,43
3440,"Even though its good seafood, the prices are too high.",seafood,positive,21,28
3440,"Even though its good seafood, the prices are too high.",prices,negative,34,40
870,"In addition, the food is very good and the prices are reasonable.",food,positive,17,21
870,"In addition, the food is very good and the prices are reasonable.",prices,positive,43,49
2507,The food is great and authentic.,food,positive,4,8
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",garlic shrimp,positive,16,29
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",okra (bindi),positive,31,43
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",lamb,positive,63,67
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",menu,positive,4,8
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,neutral,55,61
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",steak,neutral,66,71
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,neutral,76,84
2077,very good breads as well.,breads,positive,10,16
201,"Anyway, the food is good, the price is right and they have a decent wine list.",food,positive,12,16
201,"Anyway, the food is good, the price is right and they have a decent wine list.",price,positive,30,35
201,"Anyway, the food is good, the price is right and they have a decent wine list.",wine list,positive,68,77
