id,Sentence,Aspect Term,polarity,from,to
2128,I liked the aluminum body.,aluminum body,positive,12,25
81,Lightweight and the screen is beautiful!,screen,positive,20,26
353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality,negative,9,22
353,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,negative,30,41
655,It was truly a great computer costing less than one thousand bucks before tax.,costing,positive,30,37
2443,Boots up fast and runs great!,Boots up,positive,0,8
2443,Boots up fast and runs great!,runs,positive,18,22
764,"Call tech support, standard email the form and fax it back in to us.",tech support,neutral,5,17
1479,The service I received from Toshiba went above and beyond the call of duty.,service,positive,4,11
2937,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,positive,41,55
2077,The screen shows great colors.,screen,positive,4,10
2756,"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,positive,4,16
2863,The price and features more than met my needs.,price,positive,4,9
2863,The price and features more than met my needs.,features,positive,14,22
1393,the mouse buttons are hard to push.,mouse buttons,negative,4,17
36,This is the complete opposite to an ergonomic design.,design,negative,46,52
990,The technical service for dell is so 3rd world it might as well not even bother.,technical service,negative,4,21
2275,The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,positive,4,19
214,Keyboard good sized and wasy to use.,Keyboard,positive,0,8
2777,Great wifi too.,wifi,positive,6,10
1733,Games being the main issue.,Games,negative,0,5
3064,The price is another driving influence that made me purchase this laptop.,price,positive,4,9
1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,price tag,negative,64,73
1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,positive,101,109
1646,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,positive,170,177
2988,It's a great product for a great price!,price,positive,33,38
2828,Excellent speed for processing data.,speed,positive,10,15
1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,positive,30,42
1776,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,positive,74,83
2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,positive,4,27
2626,The switchable graphic card is pretty sweet when you want gaming on the laptop.,gaming,neutral,58,64
2967,I would like at least a 4 hr. battery life.,battery life,neutral,30,42
2993,It has good speed and plenty of hard drive space.,speed,positive,12,17
2993,It has good speed and plenty of hard drive space.,hard drive space,positive,32,48
1037,"The driver updates don't fix the issue, very frustrating.",driver updates,negative,4,18
2451,Im glad that it has such great features in it.,features,positive,31,39
2871,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance,positive,98,109
1532,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,neutral,63,73
2238,and looks very sexyy:D really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,negative,128,133
2785,"Also, the extended warranty was a problem.",extended warranty,negative,10,27
832,"My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,negative,87,94
2130,I also liked the glass screen.,glass screen,positive,17,29
1446,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,negative,136,153
3047,"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,negative,15,20
1732,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,negative,74,82
1063,"Wireless has not been a issue for me, like some others have meantioned.",Wireless,positive,0,8
271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,negative,57,69
271,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",background programs,negative,91,110
1674,All for such a great price.,price,positive,21,26
